city_id,city_name,state,latitude,longitude
,Birmingham,Alabama ,,
,Helena,Alabama ,,
,Peoria,Arizona,,
,Phoenix,Arizona,,
,Scottsdale,Arizona,,
,Tuscon,Arizona,,
,Little Rock,Arkansas,,
,North Little Rock,Arkansas,,
,Los Angeles,California,,
,Newark,California,,
,Oakland,California,,
,Richmond,California,,
,Riverside,California,,
,Sacramento,California,,
,San Francisco,California,,
,San Jose,California,,
,South San Francisco,California,,
,Aurora,Colorado,,
,Boulder,Colorado,,
,Denver,Colorado,,
,Layfayette ,Colorado,,
,Columbia,Colorado,,
,Bridgeport,Connecitcut,,
,Greenwich,Connecitcut,,
,Hartford,Connecitcut,,
,New Haven,Connecitcut,,
,Dover,Delaware,,
,Newark,Delaware,,
,Wilmington,Delaware,,
,Jacksonville ,Florida,,
,Jacksonville Beach,Florida,,
,Miami,Florida,,
,Miami Beach,Florida,,
,North Miami,Florida,,
,North Miami Beach,Florida,,
,Orlando,Florida,,
,South Miami,Florida,,
,Tampa,Florida,,
,Atlanta,Georgia,,
,Fayetteville,Georgia,,
,Jackson ,Georgia,,
,North Atlanta ,Georgia,,
,East Honolulu,Hawaii,,
,Honolulu,Hawaii,,
,Boise,Idaho,,
,Aurora,Illinois ,,
,Chicago,Illinois ,,
,Chicago Heights ,Illinois ,,
,Frankfort,Illinois ,,
,Lansing,Illinois ,,
,Montgomery,Illinois ,,
,North Auora,Illinois ,,
,North Chicago,Illinois ,,
,West Chicago,Illinois ,,
,Indianapolis,Indiana,,
,Des Moines,Iowa,,
,West Des Moines,Iowa,,
,Kansas City,Kansas,,
,Louisville,Kentucky,,
,Jefferson,Louisiana,,
,New Orleans,Louisiana,,
,Annapolis,Maryland,,
,Baltimore,Maryland,,
,Columbia,Maryland,,
,Boston,Massachusetts,,
,Burlington,Massachusetts,,
,Concord,Massachusetts,,
,Manchester,Massachusetts,,
,Salem,Massachusetts,,
,Detroit,Michigan,,
,Birmingham,Michigan,,
,Trenton,Michigan,,
,Bloomington,Minnesota,,
,Columbia Heights,Minnesota,,
,Minneapolis ,Minnesota,,
,South St Paul,Minnesota,,
,St Paul,Minnesota,,
,West St Paul,Minnesota,,
,Kansas City,Missiouri,,
,Manchester,Missiouri,,
,North Kansas City,Missiouri,,
,Omaha,Nebraska,,
,Las Vegas,Nevada,,
,North Las Vegas,Nevada,,
,Manchester,New Hampsire,,
,Salem,New Hampsire,,
,Burlington,New Jersey,,
,Trenton,New Jersey,,
,Santa Fe,New Mexico,,
,Albany,New York,,
,Charlottee,North Carolina ,,
,Concord,North Carolina ,,
,Denver,North Carolina ,,
,Durham,North Carolina ,,
,Harrisburg,North Carolina ,,
,Raleigh,North Carolina ,,
,Columbus,Ohio,,
,Newark,Ohio,,
,Oklahoma City,Oklahoma,,
,Albany,Oregon,,
,Portland,Oregon,,
,Salem,Oregon,,
,Springfield ,Oregon,,
,Harrisburg,Pennsylvania,,
,Philidelphia,Pennsylvania,,
,East Greenwich,Rhode Island,,
,East Providence ,Rhode Island,,
,Lincoln,Rhode Island,,
,North Providence,Rhode Island,,
,Providence,Rhode Island,,
,Charleston,South Carolina ,,
,North Charleston ,South Carolina ,,
,Memphis,Tennessee,,
,Nashville,Tennessee,,
,Austin,Texas,,
,Dallas,Texas,,
,Fort Worth,Texas,,
,Houston,Texas,,
,Richmond,Texas,,
,Provo,Utah,,
,Salt Lake City,Utah,,
,Burlington,Vermont,,
,South Burlington,Vermont,,
,Richmond,Virginia,,
,Virginia Beach,Virginia,,
,Olympia,Washington,,
,Seattle,Washington,,
,Springfield ,West Virgina,,
,Madison,Wisconsin,,
,Milwaukee,Wisconsin,,
,New Richmond ,Wisconsin,,
,,,,
,city_name,state,,
,Juneau,Alaska,,
,Anchorage,Alaska,,
,Helena,Montana,,
,Billings,Montana,,
,Fargo,North Dakota ,,
,Bismarck,North Dakota ,,
,Rapid City,South Dakota,,
,Sioux Falls,South Dakota,,
,Cheyenne,Wyoming,,
,Jackson,Wyoming,,
,Tallahassee,Florida,,
,Montgomery,Alabama ,,
,Frankfort,Kentucky,,
,Augusta,Maine,,
,Portland,Maine,,
,South Portland,Maine,,
,Jackson,Mississippi,,
,Memphis,Mississippi,,
,Lincoln,Nebraska,,
,Albuquerque,New Mexico,,
,Springfield,Illinois,,
,Charleston,West Virginia ,,
